method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Matching-Adaptive-Filter,13,-0.5989459314482719,0.5863705999734556,1.0,0.73,0.3656745473308771,GMM,2,101
Matching-Adaptive-Filter,14,-0.5989459314482719,0.5863705999734556,1.0,0.72,0.375186494829095,GMM,2,101
Matching-Adaptive-Filter,15,-0.5989459314482719,0.5863705999734556,1.0,0.71,0.39248120300750217,GMM,2,101
Matching-Adaptive-Filter,16,-0.6446233969402336,0.5196185951985591,1.0,0.69,0.4260721120984106,GMM,2,101
Matching-Adaptive-Filter,17,-0.6446233969402336,0.5196185951985591,1.0,0.69,0.41918094328030586,GMM,2,101
Matching-Adaptive-Filter,18,-0.6446233969402336,0.5196185951985591,1.0,0.68,0.4386908029570908,GMM,2,101
Matching-Adaptive-Filter,19,-0.9313767147289583,0.10056384616440213,1.0,0.67,0.4454721908526096,GMM,2,101
Matching-Adaptive-Filter,20,-0.989867530015028,0.015086704663405164,1.0,0.66,0.4564968590365291,GMM,2,101
Random-Adaptive-Filter,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Random-Adaptive-Filter,1,-0.31590510428679913,1.0,1.0,0.93,0.10285714285711757,GMM,2,101
Random-Adaptive-Filter,2,-0.31590510428679913,1.0,1.0,0.94,0.08974025974024286,GMM,2,101
Random-Adaptive-Filter,3,-0.31590510428679913,1.0,1.0,0.93,0.10555555555554119,GMM,2,101
Random-Adaptive-Filter,4,-0.356004733142934,0.9413993182842566,1.0,0.95,0.06916208791207881,GMM,2,101
Random-Adaptive-Filter,5,-0.5802985487114772,0.6136214591899087,1.0,0.96,0.05566893424035615,GMM,2,101
Random-Adaptive-Filter,6,-0.5802985487114772,0.6136214591899087,1.0,0.96,0.06277777777777163,GMM,2,101
Random-Adaptive-Filter,7,-0.5892065470629109,0.6006035138620466,1.0,0.95,0.07256118881118279,GMM,2,101
Random-Adaptive-Filter,8,-0.5892065470629109,0.6006035138620466,1.0,0.95,0.07196345321344781,GMM,2,101
