dim,seed,sample_size,noise_level,method,basin_recall,mean_matched_mahalanobis,median_matched_mahalanobis,normalized_center_error,normalized_shape_error,extracted_count,oracle_count
2,777,100,0.0,Random-Centers,0.3333333333333333,3.781478076468035,4.635481481305245,0.2006456253921606,0.09805633042976464,3,3
2,777,100,0.02,Proposed-Local-Structure,0.3333333333333333,2.414795786430282,2.414795786430282,0.13428379973131135,0.29484990124285143,1,3
2,777,100,0.02,Top-Observations,1.0,0.488352600742709,0.5923829046559331,0.025967251286744014,0.09884753047388045,3,3
2,777,100,0.02,Random-Centers,0.0,4.715190711990565,5.087743441091918,0.22361846614342473,0.09805633042976464,3,3
2,777,100,0.05,Proposed-Local-Structure,0.3333333333333333,2.3119915341196227,2.3119915341196227,0.12871471486128558,0.28424283855835825,1,3
2,777,100,0.05,Top-Observations,1.0,0.488352600742709,0.5923829046559331,0.025967251286744014,0.09884753047388045,3,3
2,777,100,0.05,Random-Centers,0.3333333333333333,3.3475629257265886,2.695226442679208,0.15797371597442705,0.09805633042976464,3,3
2,777,250,0.0,Proposed-Local-Structure,1.0,0.2564993393305767,0.2860335110043654,0.01319784752358585,0.07221459362475678,3,3
2,777,250,0.0,Top-Observations,0.3333333333333333,4.455163239589224,5.434439672975575,0.22688003687452674,0.09808412348051991,3,3
2,777,250,0.0,Random-Centers,0.3333333333333333,4.854993931489542,5.660909742065212,0.26196792446511097,0.09805633042976464,3,3
2,777,250,0.02,Proposed-Local-Structure,1.0,0.2639610281869031,0.28603347832436316,0.013686937901170669,0.0805250860166514,3,3
2,777,250,0.02,Top-Observations,0.3333333333333333,4.455163239589224,5.434439672975575,0.22688003687452674,0.09808412348051991,3,3
2,777,250,0.02,Random-Centers,0.6666666666666666,2.975303440175922,1.514983739049288,0.16805636646236463,0.09805633042976464,3,3
2,777,250,0.05,Proposed-Local-Structure,1.0,0.4167460960964448,0.33531396946055886,0.018559376517225428,0.1970005735712839,3,3
2,777,250,0.05,Top-Observations,0.3333333333333333,4.472243044304455,5.434439672975575,0.2283868190409845,0.09808412348051991,3,3
2,777,250,0.05,Random-Centers,0.0,7.683051410281699,7.588310768611565,0.3826096804672036,0.09805633042976464,3,3
2,777,500,0.0,Proposed-Local-Structure,1.0,0.19940417228257856,0.24174345094948116,0.00907590065097096,0.10982033674073992,3,3
2,777,500,0.0,Top-Observations,0.3333333333333333,4.574590514798552,5.675968125967332,0.231334981129316,0.09805739312606705,3,3
2,777,500,0.0,Random-Centers,0.0,3.577124615374803,3.641087552695225,0.1891466236442037,0.09805633042976464,3,3
2,777,500,0.02,Proposed-Local-Structure,1.0,0.2270606787009597,0.27855200685332904,0.010775786580460042,0.11095666745171197,3,3
2,777,500,0.02,Top-Observations,0.3333333333333333,4.574590514798552,5.675968125967332,0.231334981129316,0.09805739312606705,3,3
2,777,500,0.02,Random-Centers,0.3333333333333333,5.989341247256011,7.78695295619707,0.3124939015326436,0.09805633042976464,3,3
2,777,500,0.05,Proposed-Local-Structure,1.0,0.24833927080381893,0.17417753580667547,0.012368539906165444,0.17490495197413636,3,3
2,777,500,0.05,Top-Observations,0.3333333333333333,4.574590514798552,5.675968125967332,0.231334981129316,0.09805739312606705,3,3
2,777,500,0.05,Random-Centers,0.6666666666666666,4.0583287728229775,2.4631103728348562,0.23699531732899515,0.09805633042976464,3,3
2,999,100,0.0,Proposed-Local-Structure,1.0,0.39674073745083044,0.3802888023730158,0.0232964461655999,0.234466771263499,3,3
2,999,100,0.0,Top-Observations,0.6666666666666666,2.6017782660097857,0.8891579953402717,0.15626272207440747,0.16238925928540465,3,3
2,999,100,0.0,Random-Centers,0.0,4.141318036771838,3.4106782458785148,0.25686693800567084,0.16233620664039344,3,3
2,999,100,0.02,Proposed-Local-Structure,1.0,0.3967407374508309,0.3802888023730158,0.023296446165599925,0.234466771263499,3,3
2,999,100,0.02,Top-Observations,0.6666666666666666,2.6017782660097857,0.8891579953402717,0.15626272207440747,0.16238925928540465,3,3
2,999,100,0.02,Random-Centers,0.3333333333333333,7.76026458278141,9.068183659042399,0.350785650823305,0.16233620664039344,3,3
2,999,100,0.05,Proposed-Local-Structure,0.3333333333333333,1.8950276277429097,1.8950276277429097,0.11193565378163692,0.2872834597622848,2,3
2,999,100,0.05,Top-Observations,0.6666666666666666,2.010627465492341,0.8891579953402717,0.11438266043023321,0.16238925928540465,3,3
