problem,dim,seed,scenario,policy,step,region_index,region_type,source_task_id,posterior_mean,posterior_std,lower_bound,upper_bound,probability_positive,global_compatibility_trust,coverage,status,true_gain,true_useful,region_candidate_index,region_candidate_y,target_top1_y,decision_mode,selected_region_index
GMM,2,101,mixed,arise,0,9,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,10,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.27699871676205967,1.0,13,-0.33508010391927984,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,11,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,12,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,13,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,14,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,15,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.27699871676205967,1.0,13,-0.33508010391927984,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,16,wrong,wrong::wrong_0,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.16516194860447025,1.0,2,-0.22324333576169042,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,17,wrong,wrong::merged_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,18,wrong,wrong::wrong_0,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.39931383861139985,1.0,9,-0.45739522576862,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,19,wrong,wrong::wrong_1,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.06279572847957657,1.0,7,-0.12087711563679672,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,20,wrong,wrong::wrong_1,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,21,wrong,wrong::wrong_1,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,22,wrong,wrong::wrong_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.16516194860447025,1.0,2,-0.22324333576169042,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,23,wrong,wrong::wrong_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,1,0,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.43138782774186696,1.0,3,-0.547959911850108,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,1,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,2,matching,matching::merged_2,-0.0005677871677166357,0.9996492240000984,-1.000217011167815,0.9990814368323817,0.4997734062210483,0.2541666666666478,0.07354208560758403,uncertain,0.675068110435274,1.0,1,-0.791640194543515,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,3,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,4,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,5,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,6,matching,matching::matching_2,-0.0005323004697343482,0.999691707331135,-1.0002240078008693,0.9991594068614006,0.4997875773584369,0.2541666666666478,0.06463659867854064,uncertain,0.675068110435274,1.0,1,-0.791640194543515,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,7,matching,matching::matching_2,-0.0019872550870081883,0.9956944788884725,-0.9976817339754807,0.9937072238014644,0.49920377227491064,0.2541666666666478,0.9008905486929044,uncertain,0.43138782774186696,1.0,3,-0.547959911850108,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,8,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
GMM,2,101,mixed,arise,1,9,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.2541666666666478,0.0,uncertain,0.0,0.0,0,-0.11657208410824099,-0.11657208410824099,target,
