seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seeds
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,pairwise_accuracy,0.7952755905511811,0.7662401574803149,-0.0290354330708662,-0.12982898622047248,-0.21475262979822837,-0.04681348425196852,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,ndcg_at_top,0.9246168611975488,0.8611096820359903,-0.06350717916155857,-0.2795064562182452,-0.45754612609237544,-0.12762174451202835,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,normalized_top1_regret,0.0622331979600484,0.1458937437463705,-0.08366054578632212,-0.4906452950954042,-0.7220589753238049,-0.2817942250277141,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,standardized_rmse,0.9768705568933556,1.26194834759258,-0.28507779069922434,-0.7703679419966655,-1.3565378705974755,-0.2649214539207417,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,spearman,0.8035158395898188,0.7520371726789965,-0.05147866691082226,-0.3144778028291521,-0.54954757313221,-0.10069208793032411,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,precision_at_top,0.5384615384615384,0.3846153846153846,-0.15384615384615385,-0.2884615384615385,-0.40384615384615385,-0.17307692307692307,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,mean_negative_log_likelihood,-0.7727004225681922,-0.9648859941995994,-0.19218557163140726,2.2527517241700568,-0.23511328946005403,4.981363631885927,0.5,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,interval_coverage_95,0.7265625,0.9140625,0.1875,0.06640625,-0.0888671875,0.201171875,0.75,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,pairwise_accuracy,0.7952755905511811,0.7736220472440944,-0.021653543307086687,-0.12819881889763782,-0.21538854884350395,-0.04547397883858272,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,ndcg_at_top,0.9246168611975488,0.926139660737512,0.0015227995399631489,-0.26667653545190706,-0.4492281244145082,-0.10838549137682783,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,normalized_top1_regret,0.0622331979600484,0.0622331979600484,0.0,-0.4802611213671496,-0.7174280583594422,-0.260123291624246,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,standardized_rmse,0.9768705568933556,1.3571401282010669,-0.38026957130771133,-0.8204119911127651,-1.4656906999554011,-0.27833170911635524,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,spearman,0.8035158395898188,0.7592588353781359,-0.04425700421168288,-0.31008514924006586,-0.5524586270829518,-0.0997903636296008,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,precision_at_top,0.5384615384615384,0.5384615384615384,0.0,-0.25,-0.3942307692307692,-0.10576923076923081,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,mean_negative_log_likelihood,-0.7727004225681922,-0.8197895935799694,-0.04708917101177723,2.688803444208706,-0.21274946229164915,5.801217469361824,0.5,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,interval_coverage_95,0.7265625,0.828125,0.1015625,0.05078125,-0.107470703125,0.1875,0.75,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,pairwise_accuracy,0.7662401574803149,0.7952755905511811,0.0290354330708662,0.029343011811023653,0.00984136626476379,0.060302349901574834,0.875,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,ndcg_at_top,0.8611096820359903,0.9246168611975488,0.06350717916155857,0.06511189189464237,0.005668394188878547,0.12219670968589935,0.875,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,normalized_top1_regret,0.1458937437463705,0.0622331979600484,0.08366054578632212,0.17665308568547294,0.04274971272140007,0.30628140658187764,0.875,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,standardized_rmse,1.26194834759258,0.9768705568933556,0.28507779069922434,0.2432462440824798,0.1086113392685523,0.3483533846255249,0.875,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,spearman,0.7520371726789965,0.8035158395898188,0.05147866691082226,0.0585865970060428,0.010536878690944858,0.1393245856985899,0.875,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,precision_at_top,0.3846153846153846,0.5384615384615384,0.15384615384615385,0.11538461538461539,-0.009615384615384588,0.24038461538461542,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,mean_negative_log_likelihood,-0.9648859941995994,-0.7727004225681922,0.19218557163140726,0.4509402376959008,0.14403646966662065,0.8004422185265522,0.75,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,interval_coverage_95,0.9140625,0.7265625,-0.1875,-0.2314453125,-0.3154296875,-0.1513671875,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,pairwise_accuracy,0.7662401574803149,0.7736220472440944,0.0073818897637795144,-0.09265809547244094,-0.18585214689960627,-0.023584368848425213,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,ndcg_at_top,0.8611096820359903,0.926139660737512,0.06502997870152172,-0.15761145694369727,-0.32140394466273836,-0.024234820816961964,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,normalized_top1_regret,0.1458937437463705,0.0622331979600484,0.08366054578632212,-0.18398266570574928,-0.39689220105239076,0.003580915701681158,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,standardized_rmse,1.26194834759258,1.3571401283781348,-0.0951917807855549,-0.48809206668264987,-1.0450711331108242,-0.05138670414633967,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,spearman,0.7520371726789965,0.7592588353781359,0.007221662699139375,-0.2292684776139901,-0.4747599455227981,-0.0463349489562352,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,precision_at_top,0.3846153846153846,0.5384615384615384,0.15384615384615385,-0.10576923076923077,-0.25,0.019230769230769232,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,mean_negative_log_likelihood,-0.9648859941995994,-0.8197895936111097,0.14509640058848972,2.6138600218033,0.1419638089730069,5.204456403156503,0.625,8
