seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
71,reversal,none,reversal,reversal,1.0,value,1,0.8537155511811023,0.9179794669880456,1.222485846564628e-05,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,rotate_45,none,rotate_45,rotate_45,0.35,dual,1,0.8968996062992126,0.9906374558922292,0.0150807997420306,0.208878706665262,0.9049166819263872,0.9230769230769232,-2.763587057036208,0.625
71,rotate_45,none,rotate_45,rotate_45,0.35,geometry,1,0.8411663385826772,0.9868326800415866,0.0150807997420306,0.6721898516354362,0.8357901483244826,0.8461538461538461,-1.8016476120538347,0.703125
71,rotate_45,none,rotate_45,rotate_45,0.35,rank,1,0.8213582677165354,0.965684240295022,0.0153768794914718,0.5088565476013144,0.7889637886833913,0.6923076923076923,-1.4378549607823006,0.5
71,rotate_45,none,rotate_45,rotate_45,0.35,target_only,1,0.750861220472441,0.9425573944439656,0.0153768794914718,0.77191772988873,0.6456750137337484,0.5384615384615384,-2.0372412650045555,1.0
71,rotate_45,none,rotate_45,rotate_45,0.35,value,1,0.9445127952755904,0.9994499054422264,0.0,0.0758200254268949,0.963691402673503,0.9230769230769232,-4.448816374587192,1.0
71,rotate_45,none,rotate_45,rotate_45,0.7,dual,1,0.7828494094488189,0.9976186448587472,0.0008044625017409,0.3624240852375789,0.7267613532320087,0.9230769230769232,-0.2769359702827882,0.5078125
71,rotate_45,none,rotate_45,rotate_45,0.7,geometry,1,0.8115157480314961,0.933705146332177,0.0008044625017409,0.8708624824238648,0.8215070499908441,0.4615384615384615,-0.9905197931566732,0.765625
71,rotate_45,none,rotate_45,rotate_45,0.7,rank,1,0.718380905511811,0.996924684633172,0.0008044625017409,0.8476444698298686,0.6078957608496612,0.9230769230769232,1.0921194692242169,0.4921875
71,rotate_45,none,rotate_45,rotate_45,0.7,target_only,1,0.7944143700787402,0.9587697140229368,0.0029305634138096,0.9861462591073176,0.773570545687603,0.6923076923076923,-1.2216363130562264,1.0
71,rotate_45,none,rotate_45,rotate_45,0.7,value,1,0.8662647637795275,0.999779400822051,0.0,0.1221658085996736,0.8764420435817616,1.0,-3.323466226386334,0.828125
71,rotate_45,none,rotate_45,rotate_45,1.0,dual,1,0.9338090551181102,0.9961539474391344,0.0005491821260992,0.1877567560383552,0.9714967496795458,0.9230769230769232,1.1465873214225883,0.3671875
71,rotate_45,none,rotate_45,rotate_45,1.0,geometry,1,0.8005659448818898,0.9099415514733086,0.0636659722030317,0.6402013331840423,0.8026231459439662,0.4615384615384615,1.146789034673949,0.3515625
71,rotate_45,none,rotate_45,rotate_45,1.0,rank,1,0.8394438976377953,0.9954882065378636,0.0005491821260992,0.4874793022182273,0.8635494872733931,0.9230769230769232,4.572404937838446,0.3046875
