problem,dim,seed,method,selected_y,raw_regret,normalized_regret,true_rank,acquisition_rank,hit_top05,hit_top10,filter_active,retained_count,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,compatibility_elite_enrichment,source_regions
GMM,2,2026,Wrong-Adaptive-Filter,-0.0008618996566027837,0.9469028998676835,1.0192405865041194,97,0,0.0,0.0,1.0,85,0.85,1.0,0.2028571428571076,0.5142857142857143,0.4285714285714286,0.6000000000000001,6
GMM,2,2026,Oracle-Fixed-Filter,-0.6935610259586437,0.2542037735656426,0.2736234130202905,13,24,0.0,0.0,1.0,25,0.25,0.0,1.0,0.6,0.6,0.6,1
GMM,2,2026,Matching-Soft-Rerank,-0.8546603547632662,0.09310444476102009,0.10021706438709066,8,28,0.0,1.0,0.0,100,1.0,1.0,,,,,6
GMM,2,777,Target-Only,-0.35430222864925254,0.16196199148211476,0.4069645743950317,51,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,777,Matching-Fixed-Filter,-0.2758552097721101,0.2404090103592572,0.6040796960217051,72,3,0.0,0.0,1.0,25,0.25,0.0,1.0,0.5071428571428571,0.7142857142857143,0.3,8
GMM,2,777,Matching-Adaptive-Filter,-0.35430222864925254,0.16196199148211476,0.4069645743950317,51,0,0.0,0.0,1.0,85,0.85,1.0,0.20142857142853626,0.5071428571428571,0.7142857142857143,0.3,8
GMM,2,777,Random-Adaptive-Filter,-0.35430222864925254,0.16196199148211476,0.4069645743950317,51,0,0.0,0.0,1.0,88,0.88,1.0,0.16714285714282545,0.33571428571428574,0.3714285714285715,0.3,8
GMM,2,777,Wrong-Adaptive-Filter,-0.35430222864925254,0.16196199148211476,0.4069645743950317,51,0,0.0,0.0,1.0,81,0.81,1.0,0.2542857142856739,0.7714285714285716,0.942857142857143,0.6000000000000001,8
GMM,2,777,Oracle-Fixed-Filter,-0.4428928572154943,0.07337136291587298,0.18436143695565146,16,5,0.0,0.0,1.0,25,0.25,0.0,1.0,0.44999999999999996,0.6,0.29999999999999993,1
GMM,2,777,Matching-Soft-Rerank,-0.2758552097721101,0.2404090103592572,0.6040796960217051,72,3,0.0,0.0,0.0,100,1.0,1.0,,,,,8
GMM,2,999,Target-Only,-0.07091584951973981,0.6027544171014518,0.9715158670080719,83,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
GMM,2,999,Matching-Fixed-Filter,-0.22602071676839816,0.4476495498527935,0.7215187947230096,39,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.5714285714285715,0.5428571428571429,0.6000000000000001,8
