problem,dim,seed,n_init,target_only_r2,match_partial_corr,match_delta_r2,rand_partial_corr,rand_delta_r2,wrong_partial_corr,wrong_delta_r2,method,top1_true_y,top1_regret_pool,top1_improvement,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle,top3_mean_regret_pool
Lunacek,2,101,6,0.0008910643550282815,0.09935787710504662,0.00986319116643053,0.023203012555662917,0.0005379000606161588,0.052562061166950634,0.002760308468005901,Source-Region,37.9955277291181,35.42353509356591,0.0,0.0,0.0,398,35.18861768180298
Lunacek,2,101,6,0.0008910643550282815,0.09935787710504662,0.00986319116643053,0.023203012555662917,0.0005379000606161588,0.052562061166950634,0.002760308468005901,Random-Region,37.206819835842026,34.634827200289834,0.0,0.0,0.0,646,25.828549565661007
Lunacek,2,101,6,0.0008910643550282815,0.09935787710504662,0.00986319116643053,0.023203012555662917,0.0005379000606161588,0.052562061166950634,0.002760308468005901,Wrong-Source,23.95764506827662,21.385652432724427,0.0,0.0,0.0,445,21.10487155004079
Lunacek,2,101,6,0.0008910643550282815,0.09935787710504662,0.00986319116643053,0.023203012555662917,0.0005379000606161588,0.052562061166950634,0.002760308468005901,Oracle-Target-Region,17.72594108982369,15.153948454271498,0.0,0.0,0.0,435,24.86377467115055
Lunacek,2,101,6,0.0008910643550282815,0.09935787710504662,0.00986319116643053,0.023203012555662917,0.0005379000606161588,0.052562061166950634,0.002760308468005901,Hard-Filter,21.90320230042589,19.331209664873697,0.0,0.0,0.0,265,15.998086294358982
Lunacek,2,2026,6,0.006262681779885981,0.17008100775642665,0.028746385164133526,0.0657331165402076,0.004293782547800551,0.16472841647362188,0.0269655104981259,Target-Only,27.38601503953923,25.95138978780718,0.0,0.0,0.0,790,24.990909857469642
Lunacek,2,2026,6,0.006262681779885981,0.17008100775642665,0.028746385164133526,0.0657331165402076,0.004293782547800551,0.16472841647362188,0.0269655104981259,Source-Region,23.05714137882586,21.62251612709381,0.0,0.0,0.0,263,15.237350795649842
Lunacek,2,2026,6,0.006262681779885981,0.17008100775642665,0.028746385164133526,0.0657331165402076,0.004293782547800551,0.16472841647362188,0.0269655104981259,Random-Region,24.172337577917116,22.737712326185065,0.0,0.0,0.0,494,17.6291911687176
Lunacek,2,2026,6,0.006262681779885981,0.17008100775642665,0.028746385164133526,0.0657331165402076,0.004293782547800551,0.16472841647362188,0.0269655104981259,Wrong-Source,16.769093504794018,15.334468253061967,0.0,0.0,0.0,521,18.62163210687549
Lunacek,2,2026,6,0.006262681779885981,0.17008100775642665,0.028746385164133526,0.0657331165402076,0.004293782547800551,0.16472841647362188,0.0269655104981259,Oracle-Target-Region,21.417580266932696,19.982955015200645,0.0,0.0,0.0,283,15.335909766825065
Lunacek,2,2026,6,0.006262681779885981,0.17008100775642665,0.028746385164133526,0.0657331165402076,0.004293782547800551,0.16472841647362188,0.0269655104981259,Hard-Filter,28.410247588531888,26.975622336799837,0.0,0.0,0.0,187,18.997360893114585
Lunacek,2,777,6,0.0714395133845459,0.23748324445538416,0.052369224903930145,-0.06959901778753273,0.004497968611257841,0.021961323642751055,0.00044784447768619895,Target-Only,19.862504086727224,19.044320182189647,0.0,0.0,0.0,783,10.652550580118046
Lunacek,2,777,6,0.0714395133845459,0.23748324445538416,0.052369224903930145,-0.06959901778753273,0.004497968611257841,0.021961323642751055,0.00044784447768619895,Source-Region,6.621870476768754,5.803686572231178,0.0,1.0,1.0,595,7.193173922912936
Lunacek,2,777,6,0.0714395133845459,0.23748324445538416,0.052369224903930145,-0.06959901778753273,0.004497968611257841,0.021961323642751055,0.00044784447768619895,Random-Region,27.513744833563884,26.695560929026307,0.0,0.0,0.0,364,19.607580590799103
Lunacek,2,777,6,0.0714395133845459,0.23748324445538416,0.052369224903930145,-0.06959901778753273,0.004497968611257841,0.021961323642751055,0.00044784447768619895,Wrong-Source,19.862504086727224,19.044320182189647,0.0,0.0,0.0,331,22.2546710409476
Lunacek,2,777,6,0.0714395133845459,0.23748324445538416,0.052369224903930145,-0.06959901778753273,0.004497968611257841,0.021961323642751055,0.00044784447768619895,Oracle-Target-Region,22.341272243287644,21.523088338750068,0.0,0.0,0.0,369,15.933297734027818
Lunacek,2,777,6,0.0714395133845459,0.23748324445538416,0.052369224903930145,-0.06959901778753273,0.004497968611257841,0.021961323642751055,0.00044784447768619895,Hard-Filter,9.687458476069482,8.869274571531907,0.0,0.0,0.0,873,6.922522281283339
Lunacek,2,999,6,0.006189507118144255,0.11262764971204495,0.012606473659360073,-0.12733487231409332,0.01611381198842876,0.18859981839646073,0.035349731402552265,Target-Only,34.58219499807353,32.19785656986753,0.0,0.0,0.0,755,25.690741655712593
Lunacek,2,999,6,0.006189507118144255,0.11262764971204495,0.012606473659360073,-0.12733487231409332,0.01611381198842876,0.18859981839646073,0.035349731402552265,Source-Region,11.11709981150864,8.732761383302643,0.0,0.0,0.0,399,17.388563753782858
Lunacek,2,999,6,0.006189507118144255,0.11262764971204495,0.012606473659360073,-0.12733487231409332,0.01611381198842876,0.18859981839646073,0.035349731402552265,Random-Region,27.084530470145534,24.700192041939538,0.0,0.0,0.0,912,34.13388333142737
Lunacek,2,999,6,0.006189507118144255,0.11262764971204495,0.012606473659360073,-0.12733487231409332,0.01611381198842876,0.18859981839646073,0.035349731402552265,Wrong-Source,11.11709981150864,8.732761383302643,0.0,0.0,0.0,292,19.454795655587475
Lunacek,2,999,6,0.006189507118144255,0.11262764971204495,0.012606473659360073,-0.12733487231409332,0.01611381198842876,0.18859981839646073,0.035349731402552265,Oracle-Target-Region,29.258909686907945,26.87457125870195,0.0,0.0,0.0,325,21.434135320617592
Lunacek,2,999,6,0.006189507118144255,0.11262764971204495,0.012606473659360073,-0.12733487231409332,0.01611381198842876,0.18859981839646073,0.035349731402552265,Hard-Filter,34.58219499807353,32.19785656986753,0.0,0.0,0.0,273,25.722671096925577
Ackley,2,42,6,0.13030819029253815,0.629474026027771,0.34460455144966373,0.26827967342187486,0.0625951836761438,-0.40772594712979104,0.14457795603542078,Target-Only,11.846275689644116,10.019710740569053,0.0,0.0,0.0,537,10.478991001574
Ackley,2,42,6,0.13030819029253815,0.629474026027771,0.34460455144966373,0.26827967342187486,0.0625951836761438,-0.40772594712979104,0.14457795603542078,Source-Region,7.053322692182659,5.226757743107596,0.17602764797755555,0.0,0.0,277,4.981550591184032
Ackley,2,42,6,0.13030819029253815,0.629474026027771,0.34460455144966373,0.26827967342187486,0.0625951836761438,-0.40772594712979104,0.14457795603542078,Random-Region,9.088692689580554,7.262127740505491,0.0,0.0,0.0,700,7.254765868938973
Ackley,2,42,6,0.13030819029253815,0.629474026027771,0.34460455144966373,0.26827967342187486,0.0625951836761438,-0.40772594712979104,0.14457795603542078,Wrong-Source,10.74387478138494,8.917309832309877,0.0,0.0,0.0,714,8.70304674259137
