problem,dim,seed,method,step,best_y
Rastrigin,2,2026,Random-Region,9,7.63611529462915
Rastrigin,2,2026,Random-Region,10,7.63611529462915
Rastrigin,2,2026,Wrong-Source,0,12.365193862042506
Rastrigin,2,2026,Wrong-Source,1,12.365193862042506
Rastrigin,2,2026,Wrong-Source,2,12.365193862042506
Rastrigin,2,2026,Wrong-Source,3,7.28315955477259
Rastrigin,2,2026,Wrong-Source,4,7.28315955477259
Rastrigin,2,2026,Wrong-Source,5,7.28315955477259
Rastrigin,2,2026,Wrong-Source,6,7.28315955477259
Rastrigin,2,2026,Wrong-Source,7,7.28315955477259
Rastrigin,2,2026,Wrong-Source,8,1.8657173675854075
Rastrigin,2,2026,Wrong-Source,9,1.8657173675854075
Rastrigin,2,2026,Wrong-Source,10,1.8657173675854075
Rastrigin,2,2026,Oracle-Target-Region,0,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,1,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,2,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,3,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,4,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,5,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,6,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,7,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,8,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,9,12.365193862042506
Rastrigin,2,2026,Oracle-Target-Region,10,12.365193862042506
Rastrigin,2,2026,Hard-Filter,0,12.365193862042506
Rastrigin,2,2026,Hard-Filter,1,12.365193862042506
Rastrigin,2,2026,Hard-Filter,2,12.365193862042506
Rastrigin,2,2026,Hard-Filter,3,7.28315955477259
Rastrigin,2,2026,Hard-Filter,4,7.28315955477259
Rastrigin,2,2026,Hard-Filter,5,7.28315955477259
Rastrigin,2,2026,Hard-Filter,6,7.28315955477259
Rastrigin,2,2026,Hard-Filter,7,7.28315955477259
Rastrigin,2,2026,Hard-Filter,8,1.8657173675854075
Rastrigin,2,2026,Hard-Filter,9,1.8657173675854075
Rastrigin,2,2026,Hard-Filter,10,1.8657173675854075
Lunacek,2,42,Target-Only,0,13.885220097040262
Lunacek,2,42,Target-Only,1,6.148462369073002
Lunacek,2,42,Target-Only,2,6.148462369073002
Lunacek,2,42,Target-Only,3,6.148462369073002
Lunacek,2,42,Target-Only,4,6.148462369073002
Lunacek,2,42,Target-Only,5,6.148462369073002
Lunacek,2,42,Target-Only,6,6.148462369073002
Lunacek,2,42,Target-Only,7,6.148462369073002
Lunacek,2,42,Target-Only,8,6.148462369073002
Lunacek,2,42,Target-Only,9,6.148462369073002
Lunacek,2,42,Target-Only,10,6.148462369073002
Lunacek,2,42,Source-Region,0,13.885220097040262
Lunacek,2,42,Source-Region,1,13.885220097040262
Lunacek,2,42,Source-Region,2,13.885220097040262
Lunacek,2,42,Source-Region,3,9.130383424926682
Lunacek,2,42,Source-Region,4,9.130383424926682
Lunacek,2,42,Source-Region,5,9.130383424926682
Lunacek,2,42,Source-Region,6,9.130383424926682
Lunacek,2,42,Source-Region,7,9.130383424926682
Lunacek,2,42,Source-Region,8,9.130383424926682
Lunacek,2,42,Source-Region,9,9.130383424926682
Lunacek,2,42,Source-Region,10,9.130383424926682
Lunacek,2,42,Random-Region,0,13.885220097040262
Lunacek,2,42,Random-Region,1,13.885220097040262
Lunacek,2,42,Random-Region,2,13.885220097040262
Lunacek,2,42,Random-Region,3,13.885220097040262
Lunacek,2,42,Random-Region,4,13.885220097040262
Lunacek,2,42,Random-Region,5,8.258516154552815
Lunacek,2,42,Random-Region,6,8.258516154552815
Lunacek,2,42,Random-Region,7,7.989330516456308
Lunacek,2,42,Random-Region,8,7.989330516456308
Lunacek,2,42,Random-Region,9,7.989330516456308
Lunacek,2,42,Random-Region,10,7.989330516456308
Lunacek,2,42,Wrong-Source,0,13.885220097040262
Lunacek,2,42,Wrong-Source,1,6.148462369073002
Lunacek,2,42,Wrong-Source,2,6.148462369073002
Lunacek,2,42,Wrong-Source,3,6.148462369073002
Lunacek,2,42,Wrong-Source,4,6.148462369073002
Lunacek,2,42,Wrong-Source,5,6.148462369073002
Lunacek,2,42,Wrong-Source,6,6.148462369073002
Lunacek,2,42,Wrong-Source,7,6.148462369073002
Lunacek,2,42,Wrong-Source,8,6.148462369073002
Lunacek,2,42,Wrong-Source,9,6.148462369073002
Lunacek,2,42,Wrong-Source,10,6.148462369073002
Lunacek,2,42,Oracle-Target-Region,0,13.885220097040262
Lunacek,2,42,Oracle-Target-Region,1,13.03257308949308
Lunacek,2,42,Oracle-Target-Region,2,13.03257308949308
Lunacek,2,42,Oracle-Target-Region,3,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,4,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,5,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,6,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,7,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,8,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,9,9.130383424926682
Lunacek,2,42,Oracle-Target-Region,10,9.130383424926682
Lunacek,2,42,Hard-Filter,0,13.885220097040262
Lunacek,2,42,Hard-Filter,1,6.148462369073002
Lunacek,2,42,Hard-Filter,2,6.148462369073002
Lunacek,2,42,Hard-Filter,3,6.148462369073002
Lunacek,2,42,Hard-Filter,4,6.148462369073002
Lunacek,2,42,Hard-Filter,5,6.148462369073002
Lunacek,2,42,Hard-Filter,6,6.148462369073002
Lunacek,2,42,Hard-Filter,7,6.148462369073002
Lunacek,2,42,Hard-Filter,8,6.148462369073002
Lunacek,2,42,Hard-Filter,9,6.148462369073002
Lunacek,2,42,Hard-Filter,10,6.148462369073002
Lunacek,2,101,Target-Only,0,4.908392923013633
Lunacek,2,101,Target-Only,1,4.908392923013633
Lunacek,2,101,Target-Only,2,4.908392923013633
Lunacek,2,101,Target-Only,3,4.908392923013633
Lunacek,2,101,Target-Only,4,4.908392923013633
Lunacek,2,101,Target-Only,5,4.908392923013633
Lunacek,2,101,Target-Only,6,4.908392923013633
Lunacek,2,101,Target-Only,7,4.908392923013633
Lunacek,2,101,Target-Only,8,4.908392923013633
Lunacek,2,101,Target-Only,9,4.908392923013633
Lunacek,2,101,Target-Only,10,4.908392923013633
Lunacek,2,101,Source-Region,0,4.908392923013633
Lunacek,2,101,Source-Region,1,4.908392923013633
Lunacek,2,101,Source-Region,2,4.908392923013633
Lunacek,2,101,Source-Region,3,4.908392923013633
Lunacek,2,101,Source-Region,4,4.908392923013633
Lunacek,2,101,Source-Region,5,4.908392923013633
Lunacek,2,101,Source-Region,6,4.908392923013633
Lunacek,2,101,Source-Region,7,4.908392923013633
Lunacek,2,101,Source-Region,8,4.908392923013633
Lunacek,2,101,Source-Region,9,4.908392923013633
Lunacek,2,101,Source-Region,10,4.908392923013633
Lunacek,2,101,Random-Region,0,4.908392923013633
Lunacek,2,101,Random-Region,1,4.908392923013633
Lunacek,2,101,Random-Region,2,4.25038631156646
Lunacek,2,101,Random-Region,3,4.25038631156646
Lunacek,2,101,Random-Region,4,4.25038631156646
Lunacek,2,101,Random-Region,5,4.25038631156646
Lunacek,2,101,Random-Region,6,4.25038631156646
Lunacek,2,101,Random-Region,7,4.25038631156646
Lunacek,2,101,Random-Region,8,4.25038631156646
Lunacek,2,101,Random-Region,9,4.25038631156646
Lunacek,2,101,Random-Region,10,4.25038631156646
Lunacek,2,101,Wrong-Source,0,4.908392923013633
