seed,relation,method,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,oracle_order_agreement,fitted_expert_order_agreement,gate_accepted,gate_cv_gain,gate_context_pairwise,effective_mode,srmse_delta_vs_target_only,negative_transfer
23,scale_0.7,Target-Only,0.4868707844075963,0.9739613209413293,0.8739000881624903,0.8543570496083551,0.717948717948718,0.0229733734690639,-1.2379115707306514,1.0,384,0.9316797214969539,0.9302490038486122,False,,,target_only,0.0,False
23,scale_0.7,Fixed-Transfer,0.3479064609041708,0.9854737098942808,0.9542091231223084,0.9108735857267188,0.8205128205128205,0.0679103476324496,4.521394632625542,0.328125,384,0.9316797214969539,0.9302490038486122,False,,,fixed,-0.13896432350342547,False
23,scale_0.7,Calibrated-Transfer,0.3103183821606228,0.9871347362591821,0.958801202061646,0.9144364664926022,0.8461538461538461,0.0679103476324496,0.6697134460533319,0.4244791666666667,384,0.9316797214969539,0.9302490038486122,False,,,calibrated,-0.1765524022469735,False
23,scale_0.7,Gated-Transfer,0.3103183821606228,0.9871347362591821,0.958801202061646,0.9144364664926022,0.8461538461538461,0.0679103476324496,0.6697134460533319,0.4244791666666667,384,0.9316797214969539,0.9302490038486122,True,0.82337490954033,1.0,calibrated,-0.1765524022469735,False
23,scale_1.5,Target-Only,0.6540524614638393,0.9844435548706563,0.7881209521548947,0.8068157093124456,0.7692307692307693,0.009692703096538427,0.4027430651958889,0.9739583333333334,384,0.9477806788511749,0.9428147906382168,False,,,target_only,0.0,False
23,scale_1.5,Fixed-Transfer,0.3456697018459294,0.9757919812617859,0.9595510070869078,0.9147628372497825,0.8205128205128205,0.0844266202497187,2.921069021401049,0.4375,384,0.9477806788511749,0.9428147906382168,False,,,fixed,-0.30838275961790995,False
23,scale_1.5,Calibrated-Transfer,0.35249026238865266,0.9880517950818316,0.9589035637991252,0.9151843994778068,0.8717948717948718,0.030820740829675033,2.0029288330825445,0.5546875,384,0.9477806788511749,0.9428147906382168,False,,,calibrated,-0.30156219907518667,False
23,scale_1.5,Gated-Transfer,0.35249026238865266,0.9880517950818316,0.9589035637991252,0.9151843994778068,0.8717948717948718,0.030820740829675033,2.0029288330825445,0.5546875,384,0.9477806788511749,0.9428147906382168,True,0.7396712016357201,1.0,calibrated,-0.30156219907518667,False
23,rotate_45,Target-Only,0.36429784320822584,0.9946355509918573,0.9087914533247431,0.879786771105309,0.8974358974358975,0.0034119966110417407,-0.37603880071380386,1.0,384,0.7722748041775457,0.7755157548311642,False,,,target_only,0.0,False
23,rotate_45,Fixed-Transfer,0.6406197490398108,0.7892484919418814,0.8270578312027397,0.8287369451697127,0.46153846153846156,0.27209499571967527,-0.30499320522339873,0.9713541666666666,384,0.7722748041775457,0.7755157548311642,False,,,fixed,0.27632190583158495,True
