dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seed_units,n_pair_units
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,normalized_top1_regret,0.0,0.0,0.0,0.0853160253105641,0.0,0.19350831057280932,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,standardized_rmse,1.660682452574072,1.660682452574072,0.0,-0.1296236076317581,-0.29390655177929814,-1.4562876599066914e-11,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,spearman,0.8923960813037906,0.8923960813037906,0.0,-0.006354719831532685,-0.030321541384361814,0.01125738188976376,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,0.009615384615384612,0.0,0.028846153846153837,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,mean_negative_log_likelihood,-0.5174980784792141,-0.5174980784792141,0.0,0.278040361002064,3.739078491271641e-12,0.6233650233785801,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,interval_coverage_95,0.78125,0.78125,0.0,-0.0673828125,-0.15234375,0.0,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,pairwise_accuracy,0.8647883858267716,0.8699557086614174,0.005167322834645716,-0.011918676181102358,-0.026128813976377924,0.0,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,ndcg_at_top,0.9662742401108232,0.960104781692631,-0.006169458418192164,0.0319562218434892,-0.0007711823022740205,0.08386783497932031,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,normalized_top1_regret,0.0,0.0,0.0,0.09047413069847317,-0.03572196151258668,0.23548735789216083,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,standardized_rmse,1.660682452574072,1.6322018876291575,0.028480564944914466,-0.17368231360691339,-0.3369918167841743,-0.02999210856568643,0.125,8,8
